freq,SPL,phase
2890.0,127.25548,1773.73696
2900.0,127.41982,1774.60901
2910.0,127.54931,1775.04745
2920.0,127.6933,1775.72815
2930.0,127.83164,1776.4603
2940.0,127.96589,1777.15632
2950.0,128.09486,1777.67848
2960.0,128.23553,1778.22651
2970.0,128.37875,1778.91725
2980.0,128.50328,1779.23752
2990.0,128.63154,1779.77458
3000.0,128.77552,1780.40892
3010.0,128.89978,1780.79212
3020.0,129.04246,1781.20409
3030.0,129.17074,1781.71447
3040.0,129.31118,1782.2478
3050.0,129.44028,1782.61317
3060.0,129.55138,1782.89505
3070.0,129.66464,1783.61054
3080.0,129.79853,1783.89119
3090.0,129.92025,1784.49391
3100.0,130.0515,1784.86764
3110.0,130.15536,1785.22255
3120.0,130.27586,1785.54267
3130.0,130.39754,1786.09219
3140.0,130.5189,1786.35188
3150.0,130.62403,1786.76625
3160.0,130.72825,1787.12304
3170.0,130.87599,1787.474
3180.0,130.97845,1787.83446
3190.0,131.08887,1788.14065
3200.0,131.1975,1788.65522
3210.0,131.29894,1788.93318
3220.0,131.41886,1789.22528
3230.0,131.52895,1789.59935
3240.0,131.62478,1789.92754
3250.0,131.73715,1790.22574
3260.0,131.8477,1790.59142
3270.0,131.94553,1790.86273
3280.0,132.04701,1791.18971
3290.0,132.14777,1791.45803
3300.0,132.25998,1791.74689
3310.0,132.35169,1792.10801
3320.0,132.45757,1792.34547
3330.0,132.5824,1792.55913
3340.0,132.67302,1792.87379
3350.0,132.75501,1793.14319
3360.0,132.86799,1793.44388
3370.0,132.95302,1793.72412
3380.0,133.05733,1793.89143
3390.0,133.1569,1794.21288
3400.0,133.25293,1794.50302
3410.0,133.34971,1794.72994
3420.0,133.44585,1795.08286
3430.0,133.53317,1795.27645
3440.0,133.6323,1795.53143
3450.0,133.73168,1795.73693
3460.0,133.81309,1795.99474
3470.0,133.91266,1796.27251
3480.0,133.99505,1796.51309
3490.0,134.07398,1796.74962
3500.0,134.17615,1797.00102
3510.0,134.25735,1797.25887
3520.0,134.34583,1797.53305
3530.0,134.43838,1797.78338
3540.0,134.53006,1798.05542
3550.0,134.60324,1798.23684
3560.0,134.70887,1798.38253
3570.0,134.78595,1798.55848
3580.0,134.89695,1798.79882
3590.0,134.95684,1798.88711
3600.0,135.02763,1798.9548
3610.0,135.10584,1799.2525
3620.0,135.19893,1799.45834
3630.0,135.27613,1799.71923
3640.0,135.35538,1799.87286
3650.0,135.44078,1800.03053
3660.0,135.51667,1800.25662
3670.0,135.61535,1800.46167
3680.0,135.6973,1800.67566
3690.0,135.78824,1800.85322
3700.0,135.86163,1801.04215
3710.0,135.93373,1801.17153
3720.0,136.01578,1801.46322
3730.0,136.08974,1801.66282
3740.0,136.1633,1801.91994
3750.0,136.2445,1802.06323
3760.0,136.31623,1802.29853
3770.0,136.38269,1802.57199
3780.0,136.46635,1802.68899
3790.0,136.5262,1802.92706
3800.0,136.61103,1803.049
3810.0,136.66876,1803.24943
3820.0,136.73147,1803.38001
3830.0,136.81264,1803.62781
3840.0,136.88511,1803.76091
3850.0,136.94295,1803.92968
3860.0,137.00765,1804.0356
3870.0,137.09126,1804.17258
3880.0,137.14999,1804.32956
3890.0,137.23175,1804.43482
3900.0,137.30548,1804.5532
3910.0,137.38264,1804.70499
3920.0,137.45243,1804.82545
3930.0,137.51363,1804.93783
3940.0,137.60872,1805.15383
3950.0,137.67747,1805.32533
3960.0,137.75648,1805.49757
3970.0,137.83179,1805.58902
3980.0,137.91008,1805.86256
3990.0,137.97998,1806.14146
4000.0,138.05326,1806.26126
4010.0,138.13129,1806.44342
4020.0,138.18765,1806.7403
4030.0,138.26595,1806.98948
4040.0,138.30119,1807.13573
4050.0,138.36256,1807.42699
4060.0,138.41095,1807.5276
4070.0,138.46711,1807.58989
4080.0,138.51438,1807.92713
4090.0,138.5769,1807.89126
4100.0,138.62264,1808.21412
4110.0,138.68155,1808.20161
4120.0,138.7396,1808.33642
4130.0,138.80254,1808.43185
4140.0,138.86135,1808.4543
4150.0,138.92331,1808.41217
4160.0,138.9879,1808.50965
4170.0,139.05581,1808.49589
4180.0,139.11527,1808.48433
4190.0,139.20625,1808.63648
4200.0,139.28673,1808.72024
4210.0,139.36168,1808.93552
4220.0,139.43933,1809.02155
4230.0,139.51434,1809.23528
4240.0,139.58917,1809.34139
4250.0,139.66175,1809.60037
4260.0,139.72047,1809.78222
4270.0,139.78963,1810.16165
4280.0,139.85673,1810.35538
4290.0,139.90512,1810.74275
4300.0,139.95456,1810.99462
4310.0,139.99053,1811.20062
4320.0,140.02863,1811.32783
4330.0,140.06638,1811.51551
4340.0,140.10328,1811.74918
4350.0,140.13118,1811.80256
4360.0,140.1689,1811.88002
4370.0,140.20067,1811.93737
4380.0,140.24591,1811.90126
4390.0,140.29111,1811.9024
4400.0,140.34187,1811.93375
4410.0,140.40148,1811.8332
4420.0,140.47003,1811.77936
4430.0,140.53616,1811.76019
4440.0,140.61001,1811.82033
4450.0,140.6947,1811.88334
4460.0,140.76207,1811.94178
4470.0,140.84393,1812.0998
4480.0,140.92156,1812.31664
4490.0,141.00465,1812.48905
4500.0,141.07506,1812.82592
4510.0,141.14287,1813.08706
4520.0,141.21973,1813.373
4530.0,141.26305,1813.77706
4540.0,141.30665,1814.04191
4550.0,141.34712,1814.4462
4560.0,141.39146,1814.66714
4570.0,141.42208,1814.86778
4580.0,141.45063,1815.00865
4590.0,141.47213,1815.13592
4600.0,141.50467,1815.20214
4610.0,141.53911,1815.14647
4620.0,141.57387,1815.13595
4630.0,141.61262,1815.08462
4640.0,141.65158,1814.89338
4650.0,141.70924,1814.86365
4660.0,141.76898,1814.71473
4670.0,141.84445,1814.65329
4680.0,141.91128,1814.64289
4690.0,141.99344,1814.67959
4700.0,142.07029,1814.69103
4710.0,142.13908,1814.88669
4720.0,142.22297,1815.04174
4730.0,142.30232,1815.33213
4740.0,142.36252,1815.63372
4750.0,142.43498,1815.9702
4760.0,142.49045,1816.27467
4770.0,142.52424,1816.51014
4780.0,142.56189,1816.93913
4790.0,142.59137,1817.15553
4800.0,142.60415,1817.31975
4810.0,142.62861,1817.48905
4820.0,142.65755,1817.54549
4830.0,142.66877,1817.60123
4840.0,142.69243,1817.57826
4850.0,142.72246,1817.55132
4860.0,142.75582,1817.47413
4870.0,142.79145,1817.31677
4880.0,142.85153,1817.22104
4890.0,142.91003,1817.21203
4900.0,142.98583,1817.18392
4910.0,143.04906,1817.1995
4920.0,143.13528,1817.15895
4930.0,143.21577,1817.33591
4940.0,143.2885,1817.49112
4950.0,143.35748,1817.69171
4960.0,143.425,1818.06987
4970.0,143.4765,1818.29304
4980.0,143.51914,1818.5781
4990.0,143.56376,1818.86275
5000.0,143.58986,1819.14608
5010.0,143.61896,1819.38398
5020.0,143.63417,1819.54991
5030.0,143.65169,1819.63557
5040.0,143.67085,1819.72076
5050.0,143.68809,1819.70094
5060.0,143.72255,1819.69882
5070.0,143.75501,1819.62522
5080.0,143.79165,1819.59706
5090.0,143.85028,1819.53649
5100.0,143.90693,1819.44503
5110.0,143.96684,1819.45142
5120.0,144.03969,1819.46513
5130.0,144.1004,1819.55416
5140.0,144.17392,1819.68907
5150.0,144.24967,1819.88325
5160.0,144.29834,1820.10084
5170.0,144.35441,1820.357
5180.0,144.39976,1820.61924
5190.0,144.43919,1820.82068
5200.0,144.46827,1821.05029
5210.0,144.49432,1821.24548
5220.0,144.52183,1821.39318
5230.0,144.54115,1821.49681
5240.0,144.56169,1821.57745
5250.0,144.5958,1821.53122
5260.0,144.62671,1821.55457
5270.0,144.66714,1821.51018
5280.0,144.71704,1821.50144
5290.0,144.76788,1821.45067
5300.0,144.82461,1821.45688
5310.0,144.88142,1821.54822
5320.0,144.94435,1821.61588
5330.0,145.0006,1821.69922
5340.0,145.06511,1821.93417
5350.0,145.11969,1822.1075
5360.0,145.1656,1822.35783
5370.0,145.20589,1822.54952
5380.0,145.23837,1822.76811
5390.0,145.26155,1822.92786
5400.0,145.28693,1823.08322
5410.0,145.31685,1823.09241
5420.0,145.33489,1823.14942
5430.0,145.36559,1823.19673
5440.0,145.39264,1823.13812
5450.0,145.43642,1823.08847
5460.0,145.48346,1823.06421
5470.0,145.54113,1823.04312
5480.0,145.5993,1823.10987
5490.0,145.66702,1823.12111
5500.0,145.7242,1823.2293
5510.0,145.78846,1823.41645
5520.0,145.85211,1823.62368
5530.0,145.89812,1823.83595
5540.0,145.93803,1824.12024
5550.0,145.97143,1824.35395
5560.0,145.98962,1824.60697
5570.0,146.01274,1824.72961
5580.0,146.01901,1824.85226
5590.0,146.03576,1824.8805
5600.0,146.05007,1824.86687
5610.0,146.07668,1824.77297
5620.0,146.10839,1824.68124
5630.0,146.15204,1824.59389
5640.0,146.20036,1824.43263
5650.0,146.26353,1824.44159
5660.0,146.33597,1824.44852
5670.0,146.40898,1824.54085
5680.0,146.48366,1824.66171
5690.0,146.55226,1824.93158
5700.0,146.6094,1825.1879
5710.0,146.66458,1825.52742
5720.0,146.69328,1825.86592
5730.0,146.71263,1826.20671
5740.0,146.71888,1826.45019
5750.0,146.72465,1826.62431
5760.0,146.71987,1826.74083
5770.0,146.72834,1826.6939
5780.0,146.73596,1826.58796
5790.0,146.7577,1826.42165
5800.0,146.79156,1826.25447
5810.0,146.84464,1826.00972
5820.0,146.90837,1825.85563
5830.0,146.98132,1825.75034
5840.0,147.06563,1825.73047
5850.0,147.16635,1825.90548
5860.0,147.24861,1826.12887
5870.0,147.32363,1826.3966
5880.0,147.38127,1826.88
5890.0,147.42377,1827.35379
5900.0,147.43592,1827.72592
5910.0,147.44316,1828.11514
5920.0,147.42769,1828.34026
5930.0,147.40614,1828.48798
5940.0,147.38811,1828.41187
5950.0,147.37432,1828.26714
5960.0,147.38177,1828.03951
5970.0,147.41216,1827.67559
5980.0,147.46026,1827.32201
5990.0,147.54212,1826.99851
6000.0,147.63768,1826.86179
6010.0,147.74409,1826.74897
6020.0,147.84466,1826.89618
6030.0,147.96149,1827.15912
6040.0,148.04481,1827.66753
6050.0,148.11442,1828.18188
6060.0,148.15541,1828.83473
6070.0,148.16476,1829.42267
6080.0,148.13876,1829.94136
6090.0,148.0959,1830.22134
6100.0,148.04901,1830.32175
6110.0,148.00127,1830.13948
6120.0,147.96537,1829.83329
6130.0,147.96365,1829.43392
6140.0,147.99504,1828.86986
6150.0,148.04724,1828.3709
6160.0,148.14697,1827.91016
6170.0,148.27037,1827.58062
6180.0,148.41612,1827.52777
6190.0,148.54994,1827.59314
6200.0,148.68602,1828.05779
6210.0,148.80358,1828.76336
6220.0,148.87982,1829.56878
6230.0,148.90072,1830.47396
6240.0,148.87833,1831.25725
6250.0,148.82243,1831.84824
6260.0,148.7376,1832.14123
6270.0,148.6576,1832.14528
6280.0,148.5788,1831.92739
6290.0,148.52648,1831.39085
6300.0,148.51161,1830.66624
6310.0,148.54862,1829.83869
6320.0,148.62945,1829.11556
6330.0,148.75033,1828.51273
6340.0,148.91495,1828.09705
6350.0,149.09749,1828.00464
6360.0,149.28312,1828.33615
6370.0,149.45444,1829.04952
6380.0,149.56927,1830.06842
6390.0,149.64432,1831.24724
6400.0,149.63054,1832.40354
6410.0,149.56141,1833.42668
6420.0,149.44546,1834.0315
6430.0,149.31893,1834.25691
6440.0,149.18236,1834.0324
6450.0,149.07991,1833.46749
6460.0,149.0208,1832.52598
6470.0,149.034,1831.43317
6480.0,149.09725,1830.36303
6490.0,149.23559,1829.34484
6500.0,149.42416,1828.62691
6510.0,149.64466,1828.31181
6520.0,149.89194,1828.56625
6530.0,150.1357,1829.32504
6540.0,150.29559,1830.59134
6550.0,150.4049,1832.07905
6560.0,150.39955,1833.70162
6570.0,150.30894,1835.07055
6580.0,150.14169,1836.02798
6590.0,149.95079,1836.31571
6600.0,149.77387,1836.08476
6610.0,149.62413,1835.30911
6620.0,149.53273,1834.13428
6630.0,149.53309,1832.77823
6640.0,149.59832,1831.34456
6650.0,149.75336,1830.10661
6660.0,149.97202,1829.12246
6670.0,150.24798,1828.7075
6680.0,150.53221,1828.92221
